RequirementText,_class_,cleaned_text
The system shall expected manage nursing program curriculum class/clinical scheduling minimum 5 years.,SC,system shall expected manage nursing program curriculum class clinical scheduling minimum year
The system shall able operate within business office environment typical Nursing Department DePaul University.,O,system shall able operate within business office environment typical nursing department depaul university
The system shall used within specifications defined computers used Program Administrators/Nursing Staff Members.,O,system shall used within specification defined computer used program administrator nursing staff member
The system shall operate within Windows XP Professional operating system.,O,system shall operate within window professional operating system
The system shall interface CampusConnect\92s central server,O,system shall interface campusconnect central server
The system shall interface faculty central server.,O,system shall interface faculty central server
The system shall interface student master server.,O,system shall interface student master server
We must able interface HTML browser.,O,must able interface html browser
Only authorized users shall access clinical site information.,SE,authorized user shall access clinical site information
Program Administrators/Nursing Staff Members people shall access clinical site details.,SE,program administrator nursing staff member people shall access clinical site detail
Only authorized users shall access students\92 personal information.,SE,authorized user shall access student personal information
Dr Susan Poslusny Dr Julie Donalek people shall access students\92 personal information.,SE,susan poslusny julie donalek people shall access student personal information
Only authorized users shall access portion system interfaces CampusConnect.,SE,authorized user shall access portion system interface campusconnect
Fit Criterion: Dr Susan Poslusny Karen Sysol people shall access final class section scheduling system interfaces CampusConnect.,SE,fit criterion susan poslusny karen sysol people shall access final class section scheduling system interface campusconnect
The system shall basic data integrity checking reduce possibility incorrect invalid data introduced.,SE,system shall basic data integrity checking reduce possibility incorrect invalid data introduced
The system shall protect private information accordance organization\92s information policy.,SE,system shall protect private information accordance organization information policy
The system shall built secure possible malicious interference.,SE,system shall built secure possible malicious interference
The system shall use organization\92s standard virus protection software help monitor threats itself.,SE,system shall use organization standard virus protection software help monitor threat
A cohort shall associated one Program Study offered department.,F,cohort shall associated one program study offered department
Program Administrators Nursing Staff Members shall able add listing students cohort.,F,program administrator nursing staff member shall able add listing student cohort
Program Administrators Nursing Staff Members shall able add single student cohort,F,program administrator nursing staff member shall able add single student cohort
Students added cohort shall eligible cohort\92s Program Study.,F,student added cohort shall eligible cohort program study
Program Administrators Nursing Staff Members shall able specify preferred sequence classes given cohort.,F,program administrator nursing staff member shall able specify preferred sequence class given cohort
For class within sequence cohort Program Administrators Nursing Staff Members shall able specify quarter class offered.,F,class within sequence cohort program administrator nursing staff member shall able specify quarter class offered
Program Administrators Nursing Staff Members shall able add new classes sequence classes,F,program administrator nursing staff member shall able add new class sequence class
Program Administrators Nursing Staff Members shall able add clinical classes sections sequence classes,F,program administrator nursing staff member shall able add clinical class section sequence class
Program Administrators Nursing Staff Members shall able add new cohort system identified start month year.,F,program administrator nursing staff member shall able add new cohort system identified start month year
Program Administrators Nursing Staff Members shall able add new classes nursing department system.,F,program administrator nursing staff member shall able add new class nursing department system
A class shall either non-clinical class clinical class.,F,class shall either non clinical class clinical class
A non-clinical class shall specify course name lecture room requirements instructor needs.,F,non clinical class shall specify course name lecture room requirement instructor need
A clinical class shall specify course name lecture room requirements clinical site needs lecture instructor needs clinical lab instructor needs.,F,clinical class shall specify course name lecture room requirement clinical site need lecture instructor need clinical lab instructor need
Program Administrators/Nursing Staff Members shall able create new Program Study.,F,program administrator nursing staff member shall able create new program study
A Program Study shall consist program name listing required classes (both clinical non-clinical) must completed.,F,program study shall consist program name listing required class clinical non clinical must completed
Program Administrators Nursing Staff Members shall ability specify classes required Program Study,F,program administrator nursing staff member shall ability specify class required program study
The system shall able display report needed classes given quarter cohorts programs Program Administrators/Nursing Staff Members\92 planning purposes.,F,system shall able display report needed class given quarter cohort program program administrator nursing staff member planning purpose
The report needed classes shall include (but limited to) classes offered number sections needed number labs needed room types needed.,F,report needed class shall include limited class offered number section needed number lab needed room type needed
Classes given cohort shall conflict regards time day offered.,F,class given cohort shall conflict regard time day offered
Program Administrators Nursing Staff Members shall able add new clinical site system.,F,program administrator nursing staff member shall able add new clinical site system
Clinical site information shall include (but limited to) name site contact person contact information.,F,clinical site information shall include limited name site contact person contact information
Program Administrators Nursing Staff Members shall able add new clinical lab section existing clinical class System.,F,program administrator nursing staff member shall able add new clinical lab section existing clinical class system
A clinical lab section shall include clinical site name class instructor day time lab.,F,clinical lab section shall include clinical site name class instructor day time lab
Program Administrators Nursing Staff Members shall able add student registered clinical class clinical lab section class.,F,program administrator nursing staff member shall able add student registered clinical class clinical lab section class
The system shall allow Program Administrator Nursing staff member remove student clinical lab section.,F,system shall allow program administrator nursing staff member remove student clinical lab section
The system shall allow Program Administrator/Nursing Staff Member move student one clinical lab section another clinical lab section corresponding clinical class.,F,system shall allow program administrator nursing staff member move student one clinical lab section another clinical lab section corresponding clinical class
Program Administrators/Nursing Staff Members shall able cancel clinical lab section students registered clinical lab section.,F,program administrator nursing staff member shall able cancel clinical lab section student registered clinical lab section
A Program Administrator/Nursing Staff Member shall able add new nursing student system.,F,program administrator nursing staff member shall able add new nursing student system
A staff member shall ability manage progress part time student includes modifying sequence classes timeline classes.,F,staff member shall ability manage progress part time student includes modifying sequence class timeline class
The system shall able display printable summary individual cohorts include students enlisted Program study sequence classes cohort progress program timeline completion.,F,system shall able display printable summary individual cohort include student enlisted program study sequence class cohort progress program timeline completion
The system shall able display printable summary individual clinical sites include information labs held site given quarter (Clinical site general information labs held location dates times labs held there).,F,system shall able display printable summary individual clinical site include information lab held site given quarter clinical site general information lab held location date time lab held
The system shall able display printable summary individual clinical labs include (but limited to) class name class number lab section listing students enrolled instructor day(s) time location.,F,system shall able display printable summary individual clinical lab include limited class name class number lab section listing student enrolled instructor day time location
The system shall able display printable summary individual nursing students include (but limited to) student name student ID admission date classes credits GPA cohort student enrolled in.,F,system shall able display printable summary individual nursing student include limited student name student admission date class credit gpa cohort student enrolled
The system shall able display printable summary system log.,F,system shall able display printable summary system log
The system shall contain contact information (e-mail phone number) people relevant system including (but limited to) staff members students lecture instructors clinical lab instructors clinical site administrators.,F,system shall contain contact information mail phone number people relevant system including limited staff member student lecture instructor clinical lab instructor clinical site administrator
The system use stored e-mail addresses primary means communicating information affected parties.,F,system use stored mail address primary mean communicating information affected party
The system notify affected parties routine communication purposes including limited informing students upcoming offered classes (timeline) schedule be/shall be.,F,system notify affected party routine communication purpose including limited informing student upcoming offered class timeline schedule shall
The system notify affected parties changes occur affecting clinicals including limited clinical section capacity changes clinical section cancellations.,F,system notify affected party change occur affecting clinicals including limited clinical section capacity change clinical section cancellation
The system notify affected parties changes occur affecting classes including limited class cancellations class section detail changes changes class offerings given quarter.,F,system notify affected party change occur affecting class including limited class cancellation class section detail change change class offering given quarter
The system notify affected parties changes occur affecting cohorts including limited changes sequence cohort\92s program study changes given week\92s schedule (lab cancelled week due instructor illness).,F,system notify affected party change occur affecting cohort including limited change sequence cohort program study change given week schedule lab cancelled week due instructor illness
The system notify affected parties changes occur affecting specific students including limited changing student\92s status full time part time moving student different clinical section.,F,system notify affected party change occur affecting specific student including limited changing student status full time part time moving student different clinical section
Program Administrators/Nursing Staff Members shall ability modify information relating cohorts including cohort identifier program study preferred sequence classes quarters cohort taking specific classes.,F,program administrator nursing staff member shall ability modify information relating cohort including cohort identifier program study preferred sequence class quarter cohort taking specific class
Program Administrators/Nursing Staff Members shall ability modify information relating Program Study within Nursing Department including Program study name required classes Program Study.,F,program administrator nursing staff member shall ability modify information relating program study within nursing department including program study name required class program study
Program Administrators/Nursing Staff Members shall ability modify information relating Clinical Site including clinical site name site contact person contact information address.,F,program administrator nursing staff member shall ability modify information relating clinical site including clinical site name site contact person contact information address
Program Administrators/Nursing Staff Members shall ability modify information relating Clinical Lab Section including clinical site name department/section lab class instructor day time lab contact information.,F,program administrator nursing staff member shall ability modify information relating clinical lab section including clinical site name department section lab class instructor day time lab contact information
Program Administrators/Nursing Staff Members shall ability modify information relating Nursing Student including student ID student name phone number e-mail status (full time part time) program study.,F,program administrator nursing staff member shall ability modify information relating nursing student including student student name phone number mail status full time part time program study
The Disputes application shall comply corporate standards user interface creation internally externally used applications.,LF,dispute application shall comply corporate standard user interface creation internally externally used application
All screens created part Disputes application must comply corporate standards interface creation.,LF,screen created part dispute application must comply corporate standard interface creation
The list dispute cases displayed search performed must color coded easy identification dispute cases based upon dispute case status.,US,list dispute case displayed search performed must color coded easy identification dispute case based upon dispute case status
100% cardmember merchant services representatives shall use Disputes application regularly 2-day training course.,US,cardmember merchant service representative shall use dispute application regularly day training course
100% cardmember services representatives shall able successfully create dispute case first encounter completing training course.,US,cardmember service representative shall able successfully create dispute case first encounter completing training course
100% merchant services representatives shall able successfully perform follow action dispute case first encounter completing training course.,US,merchant service representative shall able successfully perform follow action dispute case first encounter completing training course
The maximum wait time user navigating one screen another within Disputes application shall 5 seconds.,PE,maximum wait time user navigating one screen another within dispute application shall second
The Disputes application shall support 350 concurrent users without degradation performance application.,PE,dispute application shall support concurrent user without degradation performance application
The Disputes application shall available 24x7x365 exception following scheduled maintenance windows. Monday \96 Saturday 3:00am 4:00am EST Sunday 1:00amd 5:00am EST,O,dispute application shall available exception following scheduled maintenance window monday saturday est sunday amd est
The Disputes application shall interface Statement Database. The Statement Database provides transaction details Disputes System. All transaction details must obtained Statement Database,O,dispute application shall interface statement database statement database provides transaction detail dispute system transaction detail must obtained statement database
The Disputes application shall interface Cardmember Information Database. The Cardmember Information Database provides detailed information regard cardmember. All cardmember detail information must obtained Cardmember Information Database.,O,dispute application shall interface cardmember information database cardmember information database provides detailed information regard cardmember cardmember detail information must obtained cardmember information database
The Disputes applications shall interface Merchant Information Database. The Merchant Information Database provides detailed information regard merchant. All merchant detail information shall obtained Merchant Information Database.,O,dispute application shall interface merchant information database merchant information database provides detailed information regard merchant merchant detail information shall obtained merchant information database
The Disputes application shall interface Letters application. This allow Disputes application request letters part dispute initiation dispute follow process. All letter requests must sent Print Letter Utility application.,O,dispute application shall interface letter application allow dispute application request letter part dispute initiation dispute follow process letter request must sent print letter utility application
The Disputes application shall interface Cardmember Posting Billing System. This allow Disputes application request adjustments cardmember merchant\92s accounts. All adjustment requests must sent Cardmember Posting Billing System.,O,dispute application shall interface cardmember posting billing system allow dispute application request adjustment cardmember merchant account adjustment request must sent cardmember posting billing system
The Disputes application shall ensure users appropriate access level allowed initiate dispute requests.,SE,dispute application shall ensure user appropriate access level allowed initiate dispute request
Only users Update access must able initiate dispute requests.,SE,user update access must able initiate dispute request
The Disputes application shall ensure authorized users allowed logon application.,SE,dispute application shall ensure authorized user allowed logon application
All authorized users authenticated must able logon Disputes System,SE,authorized user authenticated must able logon dispute system
The Disputes System shall generate User Report details new users added changes existing user\92s access level. The report reviewed auditing purposes.,SE,dispute system shall generate user report detail new user added change existing user access level report reviewed auditing purpose
All additions new users modifications user\92s access shall recorded User Report.,SE,addition new user modification user access shall recorded user report
If user account revoked re-instantiated System Administrator.,SE,user account revoked instantiated system administrator
Only System Administrator shall able reset revoked user logon account,SE,system administrator shall able reset revoked user logon account
The Disputes application shall manipulate view business data. Users direct access data files databases.,SE,dispute application shall manipulate view business data user direct access data file database
All updates data files database must initiated Disputes System.,SE,update data file database must initiated dispute system
The Disputes application must conform legal requirements specified Merchant Operating Regulations.,L,dispute application must conform legal requirement specified merchant operating regulation
All business rules specified Disputes System shall compliance Merchant Operating Regulations.,L,business rule specified dispute system shall compliance merchant operating regulation
The Disputes application must conform legal requirements specified Regulation E Regulation Z govern credit card disputes processing.,L,dispute application must conform legal requirement specified regulation regulation govern credit card dispute processing
All business rules specified Disputes System shall compliance guidelines Regulation E Regulation Z.,L,business rule specified dispute system shall compliance guideline regulation regulation
The Disputes application must maintain detailed history every action user takes dispute case. This ensures complete audit trail questions arise later regard particular dispute case.,L,dispute application must maintain detailed history every action user take dispute case ensures complete audit trail question arise later regard particular dispute case
All actions modify existing dispute case must recorded case history.,L,action modify existing dispute case must recorded case history
The Disputes System must accessible internal external users.,F,dispute system must accessible internal external user
The Disputes System must prevent users accessing dispute cases belong cardholder base.,F,dispute system must prevent user accessing dispute case belong cardholder base
The Disputes System facilitate direct data entry dispute case via user interface supports real time responses users.,F,dispute system facilitate direct data entry dispute case via user interface support real time response user
The Disputes System must provide different levels access regard disputes case initiation follow-up actions.,F,dispute system must provide different level access regard dispute case initiation follow action
The Disputes System shall provide view access capability authorized users application.,F,dispute system shall provide view access capability authorized user application
The Disputes System shall provide update access capability authorized users application.,F,dispute system shall provide update access capability authorized user application
The Disputes System must allow users select disputable transactions (based age transaction) user interface initiate dispute (ticket retrieval request chargeback notification) selected transaction.,F,dispute system must allow user select disputable transaction based age transaction user interface initiate dispute ticket retrieval request chargeback notification selected transaction
The Disputes System must provide user ability initiate single dispute case multiple transactions belong single merchant.,F,dispute system must provide user ability initiate single dispute case multiple transaction belong single merchant
The Disputes System provide user ability create initiate ticket retrieval request. As part ticket retrieval creation process system must prompt user enter required information create ticket retrieval request. The ticket retrieval request document sent merchant inquiring validity transaction.,F,dispute system provide user ability create initiate ticket retrieval request part ticket retrieval creation process system must prompt user enter required information create ticket retrieval request ticket retrieval request document sent merchant inquiring validity transaction
The Disputes System must allow user create three unique types ticket retrieval requests. The three types ticket retrieval requests (1) Request original receipt (2) Request copy receipt (3) Request portfolio. A portfolio consists documentation would provide proof purchase documentation received car rental agency sales receipt.,F,dispute system must allow user create three unique type ticket retrieval request three type ticket retrieval request request original receipt request copy receipt request portfolio portfolio consists documentation would provide proof purchase documentation received car rental agency sale receipt
The Disputes System must prevent external users requesting original receipts. Requests original receipts restricted internal users.,F,dispute system must prevent external user requesting original receipt request original receipt restricted internal user
The Disputes System must provide confirmation user upon creation ticket retrieval request contains following information; dispute case number type retrieval requested (copy original portfolio) date merchant response due.,F,dispute system must provide confirmation user upon creation ticket retrieval request contains following information dispute case number type retrieval requested copy original portfolio date merchant response due
The Disputes System shall allow user create initiate chargeback request. The system must prompt user enter required information initiate chargeback request. The chargeback request results printed chargeback notification sent merchant indicating account charged back proof provided disputed transaction valid.,F,dispute system shall allow user create initiate chargeback request system must prompt user enter required information initiate chargeback request chargeback request result printed chargeback notification sent merchant indicating account charged back proof provided disputed transaction valid
The Disputes System must provide confirmation user upon creation chargeback request. The confirmation must contain following information; dispute case number type chargeback requested (pending immediate) date merchant response due.,F,dispute system must provide confirmation user upon creation chargeback request confirmation must contain following information dispute case number type chargeback requested pending immediate date merchant response due
The Disputes System shall prevent creation duplicate dispute requests 100% time.,F,dispute system shall prevent creation duplicate dispute request time
The Disputes System shall accurately provide list possible reason codes given transaction. The list possible reason codes must derived based type transaction industry merchant belongs according business rules defined Disputes System.,F,dispute system shall accurately provide list possible reason code given transaction list possible reason code must derived based type transaction industry merchant belongs according business rule defined dispute system
The Disputes System must provide ability view existing dispute cases.,F,dispute system must provide ability view existing dispute case
The Disputes System must provide Search functionality. The search method must include ability search (1) dispute case number (2) merchant account number (3) cardmember account number (4) issuer number. In addition criteria search functionality must allow user limit results search date range type dispute (ticket retrieval request chargeback notification) case status (open closed all) dispute reason code.,F,dispute system must provide search functionality search method must include ability search dispute case number merchant account number cardmember account number issuer number addition criterion search functionality must allow user limit result search date range type dispute ticket retrieval request chargeback notification case status open closed dispute reason code
A list disputes cases meet entered search criteria must provided user. The list cases must differentiate type and/or status case color -coding line item list. For example open cases yellow closed cases gray.,F,list dispute case meet entered search criterion must provided user list case must differentiate type status case color coding line item list example open case yellow closed case gray
The Disputes System shall provide users ability view history activities occurred dispute case.,F,dispute system shall provide user ability view history activity occurred dispute case
The Dispute System shall provide users ability follow dispute case via follow-up actions. The list available follow actions given dispute case must filtered status case access level user.,F,dispute system shall provide user ability follow dispute case via follow action list available follow action given dispute case must filtered status case access level user
The Disputes System shall record name user date activity creates modifies disputes case system. A detailed history actions taken case including date user performed action must maintained auditing purposes.,F,dispute system shall record name user date activity creates modifies dispute case system detailed history action taken case including date user performed action must maintained auditing purpose
For systematic (non-user initiated) action occurs case disputes aging process case activity generated. Upon next logon user initiated dispute case must notified systematic action occurred dispute case.,F,systematic non user initiated action occurs case dispute aging process case activity generated upon next logon user initiated dispute case must notified systematic action occurred dispute case
All letter requests must formatted according guidelines specified Print Letter Utility system.,F,letter request must formatted according guideline specified print letter utility system
Any disputes cases closed 6 months must purged online disputes database.,F,dispute case closed month must purged online dispute database
The product must support Internet Explorer 5.5 above.,O,product must support internet explorer
The product must support Mozilla Firefox 1.0 above.,O,product must support mozilla firefox
The product shall interface Choice Parts System. This provides feed recycled parts data.,O,product shall interface choice part system provides feed recycled part data
The product shall run existing hardware environments.,O,product shall run existing hardware environment
The product shall adhere corporate Architecture guidelines,O,product shall adhere corporate architecture guideline
The product shall comply corporate User Interface Guidelines,LF,product shall comply corporate user interface guideline
The product shall comply corporate color scheme,LF,product shall comply corporate color scheme
The appearance product shall appear professional,LF,appearance product shall appear professional
The product shall easy use Adjusters Collision Estimators. 95% Adjusters Collision Estimators shall find product easy use.,US,product shall easy use adjuster collision estimator adjuster collision estimator shall find product easy use
The product shall increase productivity Collision Estimators. 80% Collision Estimators shall agree productivity increase within 1 month using product.,US,product shall increase productivity collision estimator collision estimator shall agree productivity increase within month using product
Users shall feel satisfied using product. 85% users satisfied product.,US,user shall feel satisfied using product user satisfied product
The product shall easy learn Adjusters Collision Estimators. The product shall learned two days onsite training,US,product shall easy learn adjuster collision estimator product shall learned two day onsite training
The user shall easily locate instructions using product. User help found within 90% system.,US,user shall easily locate instruction using product user help found within system
The search recycled parts shall take longer 15 seconds. The search results shall returned 15 seconds.,PE,search recycled part shall take longer second search result shall returned second
The search preferred repair facility shall take longer 8 seconds. The preferred repair facility returned within 8 seconds,PE,search preferred repair facility shall take longer second preferred repair facility returned within second
The recycled parts audit report shall returned user within 10 seconds. The audit report shall returned within 10 seconds.,PE,recycled part audit report shall returned user within second audit report shall returned within second
The preferred repair facility ratings shall saved within 5 seconds. The save shall occur within 5 seconds.,PE,preferred repair facility rating shall saved within second save shall occur within second
The product shall adhere corporate online availability schedule. The application brought within 98% scheduled outages per availability schedule.,A,product shall adhere corporate online availability schedule application brought within scheduled outage per availability schedule
The product shall achieve 98% uptime. The product shall fail 2% available online time.,A,product shall achieve uptime product shall fail available online time
The product shall able handle 1500 simultaneous users. The system shall perform 1500 users time.,SC,product shall able handle simultaneous user system shall perform user time
The average number recycled parts records per day shall 50 000.,SC,average number recycled part record per day shall
The product shall able handle 10 000 concurrent users within 2 years initial launch.,SC,product shall able handle concurrent user within year initial launch
For estimators product shall able operated repair facility dirty noisy conditions.,O,estimator product shall able operated repair facility dirty noisy condition
The product shall interface ChoiceParts system per day approximately 1:00 AM.,O,product shall interface choiceparts system per day approximately
The maintenance product fall within established corporate maintenance windows.,O,maintenance product fall within established corporate maintenance window
The product shall supported using corporate support center.,O,product shall supported using corporate support center
Product installations upgrades shall handled middleware technology team within established launch time frames.,O,product installation upgrade shall handled middleware technology team within established launch time frame
Only adjusters request recycled parts audit reports. No users without adjuster role shall request recycled parts audits.,SE,adjuster request recycled part audit report user without adjuster role shall request recycled part audit
Only adjusters supervisor role update preferred repair facility ratings. Users without supervisor role cannot access repair facility ratings.,SE,adjuster supervisor role update preferred repair facility rating user without supervisor role cannot access repair facility rating
Only collision estimators shall search recycled parts. Users without collision estimator role shall access search recycled parts.,SE,collision estimator shall search recycled part user without collision estimator role shall access search recycled part
Only valid data shall entered system. No invalid data shall entered system.,SE,valid data shall entered system invalid data shall entered system
One insurance company shall able view another insurance companys claim data.,SE,one insurance company shall able view another insurance company claim data
The product shall free computer viruses.,SE,product shall free computer virus
The system shall prevent malicious attacks including denial service.,SE,system shall prevent malicious attack including denial service
The product must comply Sarbanes-Oxley.,L,product must comply sarbanes oxley
The product shall comply estimatics laws relating recycled parts usage.,L,product shall comply estimatics law relating recycled part usage
The product shall comply insurance regulations regarding claims processing.,L,product shall comply insurance regulation regarding claim processing
The user shall search preferred repair facility using vehicle vehicle location radius miles,F,user shall search preferred repair facility using vehicle vehicle location radius mile
The vehicle data shall include vehicle year make model,F,vehicle data shall include vehicle year make model
The vehicle location shall include street address city state zipcode,F,vehicle location shall include street address city state zipcode
The system shall resolve zipcode street address city state zipcode unknown.,F,system shall resolve zipcode street address city state zipcode unknown
The search radius shall 1 30 miles,F,search radius shall mile
The system shall locate preferred repair facility highest ratings input criteria,F,system shall locate preferred repair facility highest rating input criterion
The adjuster shall enter preferred repair facility estimate assignment.,F,adjuster shall enter preferred repair facility estimate assignment
The adjuster shall able override preferred repair facitlity estimate assignment.,F,adjuster shall able override preferred repair facitlity estimate assignment
The preferred repair facility shall returned user.,F,preferred repair facility shall returned user
The system shall return list repair facilities within radius preferred repair facility cannot determined.,F,system shall return list repair facility within radius preferred repair facility cannot determined
The estimator shall search available recycled parts using damaged vehicle parts information.,F,estimator shall search available recycled part using damaged vehicle part information
The estimator shall search available recycled parts using list preferred parts suppliers.,F,estimator shall search available recycled part using list preferred part supplier
The system shall search available recycled parts supplied vehicle parts suppliers.,F,system shall search available recycled part supplied vehicle part supplier
The estimator shall search zipcode radius 30 miles parts found preferred parts suppliers,F,estimator shall search zipcode radius mile part found preferred part supplier
The system shall retain available recycled parts suppliers returned search.,F,system shall retain available recycled part supplier returned search
The available recycled parts information suppliers shall returned user.,F,available recycled part information supplier shall returned user
The estimator shall apply selected recycled parts collision estimate.,F,estimator shall apply selected recycled part collision estimate
The estimator shall apply recycled parts collision estimate available parts returned.,F,estimator shall apply recycled part collision estimate available part returned
The adjuster shall review collision estimate.,F,adjuster shall review collision estimate
