Requirement Text,Kategori
The system supports mass notifications for users during emergencies,BWR
The students can take their mock test of their course and evaluate themselves.,BWR
The faculties can upload lectures on the site.,BWR
Users should be able to register for an account.,BWR
Users can review a course.,BWR
Teachers should be able to build and add content to a course.,BWR
There should be a secure payment gateway for users to buy a course.,BWR
The system shall save the current version of the whiteboard in long term storage.,BWR
The system shall save the history of the whiteboard in long term storage.,BWR
The system will create event work spaces where users can collaborate on specific events or to develop training materials.,BWR
The system shall support content development and storage for online and classroom training.,BWR
The system shall allow content developers or instructors to sequence modules.,BWR
The system shall have a calendar feature for scheduling online and classroom-based courses.,BWR
The system shall have a calendar feature for tracking online and classroom-based courses.,BWR
The system shall have a calendar feature for scheduling instructor availability.,BWR
The system shall have a calendar feature for tracking instructor availability.,BWR
The system shall provide for real-time video streaming using built-in tools.,BWR
The system shall have a recording feature that will allow participants to playback content at a later time.,BWR
The system shall have a recording feature that will allow content developers to playback content at a later time.,BWR
The system shall allow the participant to pause the training and continue from where they left off at a later time.,BWR
The system shall provide for participants and instructors to maintain an online journal during training.,BWR
The system provides a point of contact for any training course questions.,BWR
"The system shall have ""knowledge check"" features and/or support external tools for knowledge check (e.g. Menti).",BWR
The system shall allow a participant to review the completion status of any content being worked on for any module or course.,BWR
"The LMS shall be able to display different media file formats, such as MS Word, Power Point, jpeg, etc",BWR
The LMS shall maintain a training profile for each participant.,BWR
The system shall provide version control media used by content developers.,BWR
"The system shall tag content development according to INSEP-specified parameters (e.g. draft, Master, cleared for release, etc.).",BWR
"The system shall maintain a list of email addresses for a participant to contact an instructor, or content developer, or course administrator.",BWR
"The system shall save, store and allow for query of evaluation data from online and classroom trainings.",BWR
"The system shall save and store chats, discussion boards, and Q&A information for each training course.",BWR
The system will allow rules-based file downloads.,BWR
"The LMS shall allow for uploads and downloads of multiple documents, images, and other media.",BWR
"The system shall have data sorting features based on a range of INSEP-specified variables (e.g. region, country, topic, etc.).",BWR
The system shall allow authorized users to create data tables.,BWR
The system shall allow authorized users to create data fields.,BWR
The system shall allow authorized users to customize data tables.,BWR
The system shall allow authorized users to customize data fields.,BWR
The system will generate or print any report on demand,BWR
The system shall produce customized reports,BWR
"The system shall display a summary of the statistics for asynchronous course (training material, who has completed, who is still working",BWR
The system shall provide for roles-based access.,BWR
The system can be accessed only by authorized users.,BWR
"LMS shall enforce access, viewing/exploring restrictions on foreign national content developers.",BWR
The system shall operate world-wide without restriction.,BWR
LMS shall flag and collect any system issues raised by participants and/or other users.,BWR
"System software updates shall be made only on the server, or shall be pushed to users when they log in to the LMS.",BWR
The system shall provide 24/7 technical support.,BWR
The LMS shall offer plans for either active users or unlimited/enterprise users.,BWR
The LMS vendor shall provide product support.,BWR
The system shall NOT save the history of each whiteboard.,BWR
"The system shall allow discussion boards to have an internal structure (i.e., sub-boards).",BWR
The system shall allow discussion boards to be linked to instructional courses/activities.,BWR
The system shall provide an optional moderator function.,BWR
The system shall allow moderators to hide posts.,BWR
The system shall allow moderators to prevent specific users from creating posts.,BWR
The system shall allow moderators to review posts before they appear to all users.,BWR
The system shall provide for an optional moderator function for approving uploads.,BWR
"The system will provide access to the group space based on the following student profile attributes: User name, Course enrollment, Country of origin, Region of origin.",BWR
The system shall allow for an administrator to limit the size of a community uploaded asset.,BWR
"The system shall provide data analytics and reporting: User name, Content list of assets uploaded, Platform (mobile/computer/tablet) used to access community, Time spent in community space.",BWR
The system shall provide a secure exchange location/drop box.,BWR
"The system shall allow the user to limit the scope of access based on the following user attributes: User name, Course enrollment, Country of origin, Region of origin.",BWR
The system shall provide for an optional moderator function for approving file exchange.,BWR
The system shall support upload/download of any approved file type.,BWR
The system shall allow file shares to have an expiration date.,BWR
"Allows teachers to upload lesson plans linked to curriculum by standard or topic, course, and unit.",BWR
Provides the ability to roll content over from year to year,BWR
Ability for teachers to copy district or school approved instructional materials and make their own modifications,BWR
Provides the ability to create discussion/communication area for teacher teams,BWR
"Provides ability to create a lesson plan based on an existing unit by selecting a set of activities and assigning to an individual student, a group of students, or entire class for a particular timeframe",BWR
Tracks lessons assigned to each student over the course of the student’s enrollment in the district,BWR
The system has the ability to release course content and assessments on a schedule or preprogramed basis for easy student access.,BWR
"The system has a process of creating, updating, assigning and sharing badges.",BWR
The system has a process that will allow teachers to create their own test bank and share with colleagues at the site or district level.,BWR
"Provides workflow ability for appropriate personnel or curriculum reviewers to approve instructional materials submitted by teachers for inclusion in a school, district, region, state, or national pool/repository",BWR
Provides ability for administrators or curriculum reviewers to exchange commentary on submitted instructional materials to the creator of the materials from within the application,BWR
"Provides ability for teachers to view the status (submitted, pending, or approved) of instructional materials (units, activities, resources) that have been submitted for district approval",BWR
"Provides workflow ability for teachers to submit their instructional materials (units, activities, assessments, and resources) for approval and possible inclusion in a school wide repository of instructional materials",BWR
"Provides workflow ability for appropriate school role to view the status (submitted, pending, approved) of instructional materials (units, activities, assessments, and resources) that have been submitted for district approval",BWR
"Provides workflow ability for users in the appropriate school role to submit their teachers’ instructional materials (units, activities, assessments, and resources) to a district or state-wide pool/repository of instructional materials (units, activities, assessments, and resources)",BWR
"Provides ability for administrators or curriculum reviewers to manage commentary on submitted instructional materials (units, activities, assessments, and resources) to the creator of the materials from within the application",BWR
The system provides for a formal review process of teacher-designed lesson plans using workflow for review by the curriculum development team,BWR
"The system features, processes and controls of automated selective release of modules and assignments based on scores, dates and completion.",BWR
"Provides for automatic notification of learners to important information such as add or drop confirmation, changes of class meeting time and place, and uncompleted work.",BWR
"Ability to control the progression of a class or specify the date and duration of the release of course content, resources, tests, discussions, etc. based on user, performance, or other prerequisite criteria.",BWR
"Provides conflict identification and resolution – multiple enrollments in the same coursework is flagged, especially after successful completion by the participant.",BWR
The system has a process upon which term and final grades will be uploaded into the SIS,BWR
The system has the process of setting grading periods at the district or site level.,BWR
The system has the ability to remove a student from a course even if they have existing grades but will retain the information within the system until the contract for service terminates.,BWR
Provides individual professional growth plans that include: a. alignment to content standards b. alignment to professional teaching standards or school executive standards c. links to district initiatives or other identified individual needs d. links to the school improvement plan e. Permission to update objectives by end user with supervisor approval process f. ability to track date of objective creation or modification g. accommodates career ladder opportunities h. links to student assessment data i. other staff personal and emergency information,BWR
Provides for an individual professional growth plan approval process that: a. allows employees to submit professional growth plans online b. enables reviewers to approve plans online c. provides a process to make modifications d. provides the capacity to archive plans e. provides alerts/notifications of deadlines f. allows employees to view status of plans g. generates reports on plan status,BWR
"Provides a waiting list for each staff development program that includes: a. auto-registration and email notification once an opening becomes available (first come, first served) b. administrative waitlist management c. instructor can manage wait list and add/delete individuals to the class; including manual override of maximum session attendance",BWR
"Manage class session attendance and results including the capacity to: a.  view roster of all registered participants b.  print pre-formatted scannable sign-in sheet c.  add walk-in attendees d.  submit session attendance online e.  submit final assessment results f.  batch enrollment by user profile characteristics (e.g., grade level, subject taught, employee classification) g.  Assign proficiency levels based upon competency attainment",BWR
"Provides the ability to schedule courses including: a.  multiple sessions of the same activity b.  easy assignment of locations and instructors without retyping c. assignment of pre-approved instructors to a course or session d.  management of a list of pre-approved staff development locations e. block scheduling of training rooms/facilities f.  capacity to identify and track substitute costs for staff development requests g.  capacity for approver to execute batch approvals h.  capacity to track proficiencies, credits, and/or seat time i.  links to an accounts payable module for staff development related costs j.  alignment to strategic goals and student learning targets.",BWR
Provides the ability to create staff development assessment activities for each course or activity with the following question types: a.  single line of text b.  multiple lines of text c.  multiple choice by drop down d.  rating scale by drop down e.  project rubric,BWR
Authorizes payments to providers who have course in the system,BWR
Includes the ability to evaluate the PD (e.g. survey or other data collection function),BWR
Tracks proficiencies required and suggests professional development opportunities to address,BWR
Provides standard pre-formatted reports for: a.  proficiency acquisition by staff members b.  registration tracking by activity section c.  activity participation summary by school district (broken out by individual) d.  activity participation summary by school e.  individual user staff development f.  staff development request g. staff development participation h.  individual staff proficiency attainment summary i.  staff development evaluation and summary j. total planned track of courses over several years and show current status against this plan k. under enrolled courses l. high demand courses m. frequently enrolled courses,BWR
Provides the ability to print and produce electronic transcripts and CEU certificates,BWR
"Maintains performance and/or supervision and evaluation history, including: a. workflow b. tools c. forms",BWR
Allows for unlimited entries of performance history data,BWR
Provides templates for evidence of impact of professional development in classrooms,BWR
"Ability for teachers to view a variety of classroom-level assessments reports for their students: a. Tracking tools which give the instructor reports such as how frequently students are logging in, what pages the student has viewed, and what tasks have been completed b. content standards mastery – assessment results by student by standard for a particular time period c. item analysis – assessment results by student by item (including distracter choice)",BWR
Provides ability for the teacher to view assessment results by proficiency levels on the sections and subsections by: a. student b. class section c. aggregate class comparison data,BWR
The system provides learning analytics and in-depth data gathering / reporting to monitor learning outcomes.  ,BWR
Provides all reports and data points previously defined for teachers rolled up to building and/or district level as appropriate.,BWR
"Provides for an ad hoc reporting tool for ""power users"" to create custom reports, dashboards and other data analysis tools",BWR
The system has the ability to track and report student success based on specific learning competencies or outcomes,BWR
"The system has the ability to generate certificates based on outcome attainment, and provides tools to manage, deliver, and track certificates.",BWR
Provides for archiving LMS 'best practices' documents or other electronic media,BWR
Provides professional training for staff and other key players in the rollout/implementation to meet the District’s project timeline / plan.,BWR
Provides comprehensive remote training and full knowledge transfer to appropriate District staff to manage the system.,BWR
Provides training description and syllabi for all training courses as well as flowchart showing recommended sequence and prerequisites,BWR
Provides onsite training on various LMS modules organized around district roles or job functions ,BWR
"Provides the option to train all district users, providing materials available to do each task",BWR
Provides training on LMS best practices,BWR
Provides an evaluation component with data reported,BWR
Permits the district to edit training videos for internal district use ,BWR
Provides LMS training through company interactive webinars at regularly scheduled intervals,BWR
Allows customers to archive vendor provided LMS training for later re-broadcast within the district for the purposes of training district personnel,BWR
Provides Knowledge Base and FAQ related to End User support,BWR
"Work flow processes are provided by the vendor and defined and embedded in the system design, documentation and training.  Process documentation adheres to a standard, such as Business Process Modeling Notation (BPMN), XML Process Definition Language (XPDL), or other well-defined industry standard.",BWR
Workflows and rules can be assigned within the system to ensure prerequisite steps and review processes take place before a user is allowed to move to the next stage,BWR
"There is an overall process framework (e.g., map) provided, documented, and diagrammed by the vendor for the LMS that defines the major processes, sub-processes and their relation to each other. The behavior of the system is determined by the process framework.",BWR
All process linkages and dependencies with other process are defined and visible in the framework.,BWR
"Specific excerpts are provided from the process documentation to explain how to perform the following tasks: (This list may be expanded during the evaluation process.) a. develop, vet and load a set of non-secure assessment items b. develop, vet and load a set of instructional resources c. select, compile, deliver, score and assess formative assessments and benchmark assessments d. create, retrieve, update, delete, and execute a workflow process definition.",BWR
"The LMS is capable of controlling adds/changes and deletes to the data element level such that it can ensure data imported from authoritative source systems is not overwritten, deleted or added in LMS data entry interfaces. ",BWR
Supports user definable metadata schemas based on the LRMI and/or CEDS schema and user definable workflows for publishing and content review.,BWR
Learning objects may align to multiple standards,BWR
Provides a year-end rollover process that advances students and preps data structures for the new school year (including year round schools) without wiping out the previous year's data ,BWR
Provides an online drop down list of all valid values for each validated field,BWR
"Provides data validation features prior to data loading that includes: verification, range checks, table of valid entries, and allowances for online editing/validation of all update transactions.  To a large extent, these features are embedded in the database as integrity constraints.",BWR
Supports automatic insertion of calculated fields based on user-defined formulas that are dynamically at run-time.,BWR
The system must support a SSO.,COM
The LMS must provide interoperability that will utilize the LMS core system’s Unique Employee Identifier (UEID) to track a student throughout the LMS system and data exchanges,COM
The LMS system must call APIs and/or send flat files with the department’s agency code and the identified LMS product name.,COM
The system must associate and track a student and all associated data that is imported from the LMS core system using the UEID.,COM
The system must import LMS core system employee and/or training information through REST API and/or sFTP flat file at a minimum of daily interval.,COM
The system must have the ability to call REST API with LMS Product and Agency Code and/or identify LMS Product and Agency Code within a flat file during data exchanges.,COM
The system must have the ability to import LMS core system records for all employees that have changed since the last ECR REST API data feed and/or flat file for a given agency code.,COM
"The system must update fields through the import process (ECR REST API data feed and/or flat file) from the LMS core system, pertaining to the employee.",COM
"The system must export student training information through REST API and/or flat file exports. It will only include records that are new, updated or deleted since the last data exchange. This must be accomplished once a day at a minimum.",COM
The system must import the data elements from the LMS core system by calling the API with LMS Product and Agency Code of the client department and/or exporting a flat file that identifies the LMS Product and Agency Code of the client department.,COM
"The LMS must have the ability to consume and publish specified catalog and event driven data (e.g. addition and removal of employees, completion of training classes, listing of training providers) via secure REST API to and from the LMS Core System.",COM
"The LMS must have the ability to publish and consume via batch file specified catalog and event driven data (e.g. addition and removal of employees, completion of training classes, listing of training providers) in the format prescribed by the ECR System.",COM
"The system must accept training material in the following file types: Microsoft supported product formats for Word, Excel and PowerPoint; Adobe Acrobat Reader (PDF); Standard video file formats (e.g. vob, wmv, mp4); Standard image formats (e.g. png, jpg, gif).",COM
The system must integrate with 3rd party authentication such as O-Auth or direct usage.,COM
The system must accept Single Sign On (SSO) tokens.,COM
"The system must meet the Section 508 and WCAG 2.0, A and AA most current requirements.",COM
"The system must support Mobility (e.g., phones and tablets).",COM
"The system must support all current versions and any previous supported versions of modern web browsers including Internet Explorer, Firefox, Chrome and Safari.",COM
The system must integrate with 3rd party authentication such as O-Auth or direct usage.,COM
The system must accept Single Sign On (SSO) tokens.,COM
"The system must support Mobility (e.g., phones and tablets).",COM
"The system must support all current versions and any previous supported versions of modern web browsers including Internet Explorer, Firefox, Chrome and Safari.",COM
"HTTPS enables access to web application to secure access of confidential data (student information). Database Access There will be no external access to the database, except through the XML protocol. Administrators of the system will have full database administration rights and Lecturers may have access to a copy of parts of the VCS database, for editing purposes.",COM
Ability to use mobile devices to access course content and all course tools are available in the mobile client,COM
Available tools in the mobile client have the same functionality as the web version,COM
The LMS is mobile-ready when using the web version through smartphones,COM
The Online Student Information Management System is also supported on mobile devices such as cell phones,COM
The system shall allow the users to access the system from the Internet using HTML or it’s derivative technologies. The system uses a web browser as an interface.,COM
The system shall provide for simultaneous translation.,COM
"The LMS shall be compatible with the following operating systems: Windows, OSX, LINUX, Android, and iOS.",COM
The system will support 3rd party software.,COM
"The LMS shall be able to display content for 3rd party vendors such as MS Teams, Zoom, Bluejeans, Skype.",COM
The LMS shall support the surveys from 3rd party vendors.,COM
The LMS shall work with the existing INSEP databases.,COM
The LMS shall access multiple databases.,COM
The system shall be compatible with Sharable Content Object Reference Model.,COM
The system shall be compatible with Learning Tools Interoperability.,COM
All components in this section are available on multiple web browsers.,COM
The system provides a process in which a teacher grades student course submissions via multiple devices and multiple operating systems. This should include the required apps and platform requirements.,COM
Integrates seamlessly with the Internet to allow access to online software and support services such as: a. the capability to submit questions related to the software b. to inquire about the status of current calls c. to receive software and documentation updates,COM
The LMS components are built around a common data model and aligned to the U.S. Department of Education's Common Education Data Standards (CEDS),COM
Data integration across components is assured by having developed each component within the common database schema.,COM
"Provides the capability to read and write commonly accepted imaging standards (for example .jpeg, .epi, .eps, .tif, .gif, .png) to capture and retrieve graphics and photos for use in assessment items and activities.",COM
"Content modules support .mov, .wmv, .mp3, .mp4, .wav, .wma",COM
Meets current HTML5 standards for audio and video,COM
Does not require reliance on any client side software other than an HTML 5 capable browser in order to display any and all LMS presentations.,COM
Hardware Requirements a. Supports virtualization,COM
"The LMS delivers all of its functionality through a web browser.  The LMS is expected to run well on major   HTML5-compatible browsers on the current release and past two releases and require no additional browser helpers or plugins for full accessibility and functionality.  These browsers shall include but not be limited to the following list:  Internet Explorer, Firefox, Safari, and Chrome.  ",COM
"The LMS runs well on a wide variety of mainstream hardware platforms that use the aforementioned browser technologies described in 9.1.2.a.  These hardware platforms shall include but not be limited to Microsoft Windows and Mac OS desktops laptops and netbooks, Apple iOS devices, Android devices, as well as other tablets, smart phones, and eReaders.",COM
Provides the ability to define defaults for creating fields and pre-populates them at record creation time.,COM
Fully SQL compliant (ANSI standard version SQL 2012 as a minimum),COM
"Provides for multiple domains including live, test and training environments",COM
The system must have the ability to authenticate upon REST API call.,PE
A public cloud-based environment is required for this LMS solution.,PE
Planned system downtime must be scheduled at least 24 hours in advance.,PE
The system must allow failovers to occur without disruption to service.,PE
"Planned system updates, patches and support must occur without service disruption.",PE
The system must have the ability to store and retrieve 5 years of employee training history within a maximum of 48 hours.,PE
The system must have the ability to expand capacity with workforce as additional departments are on boarded.,PE
Less response time should be there so that student and faculty should feel good while using this virtual classroom system,PE
24 X 7 availability should be there so that student can use it at any time according to  his convenience.,PE
"Number of users supported in the class will mainly depend on the server load, server processing capacity and its memory. It should scale maximum number of users",PE
"Detailed student system tracking available (log in, log out, last accessed, IP address)",PE
Detailed student tracking available for each course tool (How many discussion posts were read; how long they spent on each question),PE
Concurrent user capabilities,PE
The LMS must be easily scalable to handle increasing numbers of users and content to keep in step with the growth of the organization,PE
The application should be able to operate on all major web-browsers with all of its fundamental functions . It should not slow-down the system even at peak hours without affecting the quality of service of the system,PE
The system is available 100% for the user and is used 24 hrs a day and 365 days a year.,PE
The system shall be operational 24 hours a day and 7 days a week.,PE
The system will be developed in such a way that it may fail once in a year.,PE
"Even if the system fails, the system will be recovered back up within an hour or less.",PE
The system shall provide 100% access reliability.,PE
The Splash Page or Information page should be able to be downloaded within a minute using a 56K modem.,PE
The information is refreshed every two minutes.,PE
The access time for a mobile device should be less than a minute.,PE
The system shall respond to the member in not less than two seconds from the time of the request submittal.,PE
The system shall be allowed to take more time when doing large processing jobs.,PE
The system shall take as less time as possible to provide service to the administrator or the librarian.,PE
The system is capable of handling 250 users at a time.,PE
The system response time for every instruction conducted by the user must not exceed more than a minimum of 10 seconds.,PE
The system should have a high performance rate when executing user input.,PE
"The system should be able to provide a response within a short time span, usually 50 seconds for highly complicated tasks and 20 to 25 seconds for less complicated tasks.",PE
The system shall provide asynchronous training 24/7 with the exception of maintenance periods.,PE
The system shall have an availability level of 99 percent.,PE
The system shall support multiple resolutions to accommodate various bandwidth limitations.,PE
The system shall maintain adequate non-volatile storage for recorded videos.,PE
"Stores any original statistics and calculates new statistics for each item: a. IRT discrimination (difficulty, pseudo-guessing, DIF (item bias), b. p-value (probability).",PE
Supports the storage of artifacts related to multi-year projects (e.g. high school project),PE
Provides storage capacity sufficient per class/student to manage a K-12 work sample repository,PE
"Data movement to and from the LMS accommodates various periodicities including, at least, monthly, weekly, daily, and real-time. ",PE
"Allows for one central software and system design that can accommodate more than 10,000 active users without detrimental impact to performance response time remains less than 15 seconds and users are not exited from the system.",PE
The field to field on screen data entry response time will be less than .5 seconds.,PE
Allows data fields on input forms to use input into other fields on the form to control the options they display. ,PE
Provides a trainer with educational experience and in-depth knowledge of the system,U
"Provides LMS training videos that are produced using professional tools such as Camtasia, Robohelp, or Flash",U
Provides LMS training that satisfies federal 508 compliance such as videos with sub-titles and audios with transcripts,U
Offers support to regular end-users ,U
Provides opportunity for users to get real-time support through online chat,U
"Provides professional help desk software for: a. problems with the LMS system b. automatically receiving notification of logged problem c. notification of temporary software fixes d. final resolution of software problems e. provides a formal system to track, report, and manage end-user software problem reports f. allows the customer the ability to escalate LMS problem resolution based upon the urgency of the customer software problem g. ability to integrate with other help desk software",U
Provides a direct support representative(s) that the District can contact without going through call center or complex phone menu to reach the support representative.,U
"A consistent look and feel is provided such that controls for similar functions across components are located, accessed, and operated the same within each component.  User views follow existing conventions where these make sense.",U
User interface can support or be translated into different languages (specify languages).,U
The process documentation is used for user training.,U
System is ADA/Section 508 compliant / Responsive Web Design,U
Supports the APIP Accessible Content Standards,U
Assessment delivery system provides the following optional elements: a. audio directions b. tactile graphics c. American Sign Language d. Signed English e. alternate language (specify languages) f. keyword(s) or concept(s) highlighting g. keyword(s) or concept(s) translation (specify languages) h. flagging i. guided reader,U
"Supports error messages that are easily understood by the user with online, error-resolution help screens. ",U
"Requires only basic mouse and keyboard skills, and familiarity with standard web browser controls.",U
The system must allow changes to user information not associated to ECR.,UInR
The system must provide the ability to preview content prior to being published.,UInR
"The system must allow downloadable content for users in various types of media (i.e. PowerPoint, MS Word, PDF) from a computer or mobile device.",UInR
"The system must stream CBT, WBT and webinars from the student’s profile or account.",UInR
"The system must receive and upload CBT, WBT and Webinar courses.",UInR
The system must allow data to be extracted and imported through user interface.,UInR
The system must present and export a course roster.,UInR
The system must supports multi-search criteria by course attributes.,UInR
The system must accept batch uploads of data.,UInR
The system must be able to track interest in a course by the LMS core system's UEID.,UInR
The system must track and display student information including the UEID provided by the LMS Core System.,UInR
The system must be able to import and support UEIDs.,UInR
The system must be able to import and support UEIDs.,UInR
"Real-time collaboration among users via chat rooms, shared and interactive whiteboards.",UInR
"Asynchronous communication in the form of emails, discussion boards that enable communication to occur at ""convenient times"" that suit student schedules and are not accessed at simultaneous or prearranged times.",UInR
"There can be forums, blogs, etc. to discuss various queries and to put up suggestions posted both by students and teachers.",UInR
Availability of a voice mailbox to allow faculties to get the descriptive messages left by the students.,UInR
"Ability to provide a variety of feedback types (e.g., text, audio, video) for assignments, discussions, and other student activities",UInR
"Help Desk options available for students such as email, chat, etc.",UInR
The application should have a responsive interface.,UInR
Users will be able to enroll in a course.,UInR
"The system shall have a white board feature for participants and instructors to interact with each other via diagrams, equations, and written notes.",UInR
The system shall have a discussion forum for participants to interact with instructors and each other.,UInR
The system shall have a mechanism for posting questions.,UInR
The system shall have a mechanism for posting responses to questions.,UInR
The system shall provide a live chat feature to allow participants to communicate with each other.,UInR
The system shall provide a live chat feature to allow the instructor to communicate with the participants.,UInR
The system will include collaboration tools that allow content developers to work together to develop or adapt training materials.,UInR
"The system shall provide training materials development tools such as text editors, graphics production, video editing, etc.",UInR
The system shall provide templates that can be used by course developers.,UInR
The system shall provide drag-and-drop capability for both Windows and OSX operating systems when working with the training databases.,UInR
The system shall assist users who are having difficulty with the LMS interface.,UInR
The system shall allow for individuals and groups to create whiteboards for sharing ideas in real-time.,UInR
"The system shall allow users to save, recall, and edit individual whiteboards.",UInR
The system shall allow users to resume work on a previously saved whiteboard.,UInR
The system shall support the streaming of live videos.,UInR
The system shall allow the user to move back in the video timeline when streaming a stored video.,UInR
The system shall allow the user to move forward in the video timeline when streaming a stored video.,UInR
The system shall prevent the user from moving past an unviewed portion of the timeline when streaming a stored video.,UInR
The system shall allow the user to pause playback when streaming a stored video.,UInR
The system shall prevent the user from pausing playback when streaming a live video.,UInR
The system shall prevent the user from moving back in the timeline of a live video.,UInR
The system shall support the streaming of recorded videos stored in the following formats (TBD).,UInR
The system shall allow instructor and administrators to create discussion boards.,UInR
The system shall allow instructors/administrators to post prompts.,UInR
The system shall allow students to respond to posted prompts.,UInR
The system shall notify students when instructors have posted prompts.,UInR
The system shall notify users when other users have responded to them.,UInR
The system shall notify users when other users have mentioned them by name.,UInR
The system shall allow for keyword searches of prompts and responses and discussion board titles.,UInR
The system shall provide community spaces within which students can collaborate on group projects.,UInR
The system shall allow students to upload the following types of content to the group space (TBD).,UInR
The system shall warn students if clicking on a link will take them to an external site.,UInR
The system shall support file exchange among users.,UInR
The system shall support drag-and-drop upload and download from/to a user’s local system.,UInR
The system shall allow a user to upload/download multiple files within a single operation.,UInR
The system shall indicate file upload/download progress.,UInR
The system shall warn the user if attempting to upload a non-supported file type.,UInR
"On mobile platforms, the system shall launch native file sharing apps when users select links for those services.",UInR
The system shall allow an interrupted file upload to be resumed.,UInR
"Provides the ability for users to create instructional materials (units, activities, assessments, and resources) : a. with ability to attach a file (graphic, chart, spreadsheet, map), b. allowing for streaming video",UInR
Provides the ability to duplicate lesson plan for multiple class sections,UInR
Permits teachers to schedule either an assignment or assessment into their and their students’ individual calendars,UInR
The system has a process for searching within a course and all administrative courses for content.,UInR
Permits instructors to give feedback to a whole group as well as individuals in the group,UInR
The system has the ability of notifying student and teacher of submissions that need to be graded and/or reviewed after being graded.,UInR
Provides a mechanism for instructor to provide feedback on student assignments,UInR
Allows teachers to review and rate materials as they use them with the ability to turn off portions of this by the system administrator as necessary,UInR
The system has a process of creating and using a checklist and any additional functionality.,UInR
"The system has the ability to produce and deliver surveys, polls, questionnaires.",UInR
"Provides a student search tool that allows users to find course material based on keyword, learning target/object, or any other learning object metatag",UInR
The system has the ability for teachers to post announcements using a variety of communication formats and delivery methods.,UInR
Allows students and/or teachers to change the status of their group from private to public when ready to share,UInR
"Supports and captures real-time chat such as Internet Relay Chat (IRC), instant messenger, or similar text exchanges",UInR
